"Name","Tore"
"Aaron Durnwalder",2
"Alex Coppola",3
"Alexander Herzig",13
"Aliaksandr Piatrovich",3
"Aliaksei Gaiduk",2
"Aliaksei Karneichuk",3
"Andrea Delogu",1
"Andrei Pushkin",3
"Andri Finnsson",2
"Andri Már",11
"Andrin Schneider",11
"Arnór Ísak",2
"Arnór Viðarsson",9
"Baldur Gillason",3
"Benedict Haubeil",0
"Benedikt Gunnar",19
"Bjarni í",2
"Bogi Hansen",0
"Brandur Silvurstein",0
"Breki Hrafn",0
"Brent Riksten",2
"Brynjar Vignir",0
"Christiano Olivace",1
"Ciril Spring",5
"Cristian Guggino",0
"Daniele De",1
"Daniil Bely",0
"Dominik Ruh",4
"Einar Rafn",0
"Elias á",21
"Enrico Aldini",0
"Fabian Becker",3
"Felix Aellen",2
"Florian Kranzmann",7
"Florian Westrich",2
"Fynn-Luca Nicolaus",7
"Gabriele Sontacchi",5
"Gabriele Sortino",4
"Germano Albanini",0
"Giacomo Hrovatin",8
"Gian Tarneller",0
"Gunnar Hrafn",0
"Hákun Vest",10
"Henri Dörflinger",1
"Ids Eussen",7
"Ihar Bialiauski",16
"Ísak Gústafsson",8
"Janik Zundert",1
"Jannik Reinshagen",1
"Jasper Peters",0
"Jens Dijkstra",2
"Jeromy Ban",5
"Jesse Linden",1
"Joel Willecke",2
"Jóhannes Berg",1
"Johannes Knoll",0
"Julien Bro",0
"Kaj Geenen",4
"Kanstantsin Kavaliou",0
"Kiryl Kolas",0
"Kiryl Samoila",6
"Konrad Wagner",15
"Kristján Pétur",0
"Kristófer Máni",6
"Kristoffur Bjørgvin",2
"Lars Gross",0
"Lasse Ludwig",0
"Laurenz Kluth",1
"Laurin Rinderknecht",9
"Lennart Poncelet",1
"Leon Ciudad-Benitez",5
"Lionel Mirdita",3
"Luigi Arena",4
"Lukas Osterwalder",0
"Marc Walter",1
"Marvin Schug",4
"Mathis Häseler",4
"Mats Grupe",0
"Matthes Langhoff",9
"Matthis Blum",5
"Max Beneke",0
"Mika Schoolmeesters",0
"Mikita Kinl",6
"Morris Kippers",1
"Nico Becker",1
"Nicola Fadanelli",4
"Nicolas Waldvogel",8
"Nicolò Giulio",0
"Niklas Theiß",4
"Niko Blaauw",18
"Niko Bratzke",2
"Ole Pregler",4
"Ömer Koc",2
"Ovi Lützen",0
"Pauli Mittún",11
"Ragnar Karlsson",2
"Raman Laurenau",3
"Renars Uscins",9
"Riccardo Achille",1
"Robert Kraß",6
"Robin Heinis",3
"Rói Ellefsen",3
"Roman Bachmann",1
"Sakir Tróndarson",0
"Samir Altpeter",3
"Samuele Serafini",1
"Silas Vang",0
"Símon Michael",2
"Stanislau Sadouski",2
"Sveinur Olafsson",2
"Teitur Mouritson",0
"Teun Krol",1
"Thibaud Groot",1
"Thomas Bortoli",16
"Thomas Houtepen",4
"Tim Altmeyer",1
"Tim Dax",0
"Tim Freihöfer",10
"Tim Zonneveld",2
"Tom Schlicker",2
"Tómas Sigurðsson",1
"Tommaso Romei",2
"Tryggvi Þórisson",3
"Uladzislau Haidel",5
"Viktor Johan",8
"Vincent Hein",0
"Yan Sabko",5
"Yauhen Ladutska",1
"Yauheni Charniauski",4
